Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
1393,8073,Fedor LAUKHIN,13 FEB 1974,UKR,1,Kyiv (UKR),28 JUL 2000,1138,11.09,7.35,12.70,2.06,49.86,14.56,39.66,5.00,58.80,4:19.62
1393,8073,Pelle RIETVELD,04 FEB 1985,NED,3,Kladno (CZE),10 JUN 2012,1138,10.98,7.19,14.35,1.86,47.78,14.09,41.51,4.97,60.65,4:37.93
1393,8073,Florian GEFFROUAIS,05 DEC 1988,FRA,2,Angers (FRA),25 JUN 2016,1138,11.28,7.10,15.14,1.89,49.41,14.88,45.86,5.00,58.61,4:19.50
1393,8073,Jorge UREÑA,08 OCT 1993,ESP,3,Lutsk (UKR),07 JUL 2019,1138,10.96,7.38,13.43,2.04,49.10,13.88,39.60,4.60,58.01,4:27.06
1393,8073,Mathias BRUGGER,06 AUG 1992,GER,12,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1138,11.07,7.04,14.59,1.97,48.60,14.26,44.99,4.80,54.67,4:26.30
1393,8073,Jorge UREÑA,08 OCT 1993,ESP,1,"Polideportivo Juan de la Cierva, Getafe (ESP)",26 JUN 2021,1138,10.80,7.43,14.47,1.97,49.03,14.37,38.52,4.80,61.10,4:38.28
1399,8072,Andrei NAZAROV,09 JAN 1965,URS,8,"Poljud Stadion, Split (CRO)",29 AUG 1990,1137,11.04,7.43,13.07,2.13,48.09,14.56,41.82,4.60,56.56,4:33.88
1399,8072,Aleksandr POGORELOV,10 JAN 1980,RUS,1,Arles (FRA),08 JUN 2003,1137,11.22,7.57,15.28,2.11,51.50,14.54,44.31,4.91,59.42,4:57.10
1399,8072,Hans VAN ALPHEN,12 JAN 1982,BEL,5,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,1137,11.20,7.26,15.08,1.89,49.44,14.89,47.67,4.75,58.47,4:21.06
1399,8072,Oleksiy KASYANOV,26 AUG 1985,UKR,4,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,1137,10.79,7.43,14.51,1.98,48.97,13.93,42.46,4.80,48.23,4:32.56
1403,8071,Viktor RADCHENKO,11 MAY 1968,EUN,12,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1137,11.30,7.33,15.21,1.97,50.62,14.78,44.84,4.90,62.56,4:33.49
1403,8071,Sándor MUNKÁCSY,24 JUL 1969,HUN,6,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,1137,11.14,7.65,13.02,1.93,48.38,14.24,42.00,4.70,56.94,4:20.27
1403,8071,Lev LOBODIN,01 APR 1969,RUS,13,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1137,10.75,7.18,15.75,1.94,48.87,14.02,44.55,5.00,50.16,4:50.73
1403,8071,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,4,Arles (FRA),01 JUL 2001,1137,11.00,6.96,15.25,1.98,47.87,14.05,45.87,5.00,47.03,4:37.98
1403,8071,Maicel UIBO,27 DEC 1992,EST,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2016,1137,11.24,7.27,13.96,2.14,51.62,14.87,43.50,4.96,59.91,4:29.37
1403,8071,Daniel GOLUBOVIC,29 NOV 1993,AUS,14,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1137,10.99,6.96,15.00,1.96,49.44,13.92,46.37,4.60,56.75,4:29.67
1409,8070,Dan STEELE,20 MAR 1969,USA,2,Winnipeg (CAN),25 JUL 1999,1137
1409,8070,Hans VAN ALPHEN,12 JAN 1982,BEL,4,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,1137,11.25,7.40,14.22,1.88,49.56,14.60,45.52,4.62,62.75,4:17.51
1409,8070,Jamie ADJETEY-NELSON,20 MAY 1984,CAN,1,New Delhi (IND),08 OCT 2010,1137,10.87,7.37,15.00,2.02,49.61,14.76,45.21,4.70,61.32,4:52.23
1409,8070,Aleksandr TABALA,23 MAY 1986,RUS,3,"Adler, Sochi (RUS)",08 MAY 2012,1137,11.73,7.02,15.29,2.06,51.87,14.78,47.37,5.00,64.16,4:29.65
1409,8070,Ashley BRYANT,17 MAY 1991,GBR,4,"Ratinan Stadion, Tampere (FIN)",12 JUL 2013,1137,11.12,7.53,13.76,1.95,48.22,14.45,41.17,4.50,65.46,4:30.97
1409,8070,Kurt FELIX,04 JUL 1988,GRN,3,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1137,11.02,7.43,13.26,2.11,48.93,15.06,45.30,4.50,66.33,4:47.66
1409,8070,Luiz Alberto DE ARAUJO,27 JUN 1987,BRA,1,Sao Bernardo do Campo (BRA),02 JUL 2016,1137
1409,8070,Fredrik SAMUELSSON,16 FEB 1995,SWE,2,"Stadio Tre Stelle, Desenzano del Garda (ITA)",30 APR 2023,1137,11.14,7.22,14.22,2.01,49.21,14.58,42.43,4.95,60.73,4:35.52
1417,8069,Thorsten DAUTH,11 MAR 1968,GER,10,"National Stadium, Tokyo (JPN)",30 AUG 1991,1137,10.74,6.99,15.36,2.03,48.13,14.88,42.96,4.30,60.46,4:28.09
1417,8069,Prodromos KORKIZOGLOU,27 FEB 1975,GRE,1,Ibach (SUI),02 JUL 2000,1137,10.60,7.24,14.39,2.01,49.86,14.25,41.82,5.00,56.93,4:50.77
1417,8069,Raúl DUANY BUENO,04 JAN 1975,CUB,1,Beijing (CHN),31 AUG 2001,1137
1417,8069,Pascal BEHRENBRUCH,19 JAN 1985,GER,10,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1137,11.10,6.99,15.00,2.00,48.79,14.56,43.16,4.60,60.90,4:24.16
1417,8069,Robert Jacob ARNOLD,03 JAN 1984,USA,10,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1137,11.06,6.92,14.20,2.00,49.17,14.27,45.76,4.90,56.84,4:31.13
1417,8069,Pascal BEHRENBRUCH,19 JAN 1985,GER,8,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1137,11.09,7.27,16.06,1.97,51.58,14.29,48.43,4.60,63.90,4:50.81
1417,8069,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,13,"DS, Daegu (KOR)",28 AUG 2011,1137,11.20,7.79,12.76,2.17,49.46,14.79,37.20,5.10,58.91,4:45.86
1417,8069,Roman ŠEBRLE,26 NOV 1974,CZE,14,"DS, Daegu (KOR)",28 AUG 2011,1137,11.25,7.30,15.20,2.05,51.18,14.75,46.93,4.80,67.28,4:56.50
1425,8068,Tomáš DVOŘÁK,11 MAY 1972,CZE,8,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1137,10.94,7.31,15.95,2.00,50.34,14.81,45.69,4.20,64.89,4:34.24
1425,8068,Aleksey SYSOYEV,08 MAR 1985,RUS,10,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1137,10.93,6.83,16.08,2.09,48.89,15.24,50.67,4.50,50.68,4:29.94
1425,8068,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,5,Kladno (CZE),16 JUN 2011,1137,11.08,7.39,13.57,2.07,49.38,14.33,44.99,4.70,55.47,4:34.42
1425,8068,Dakotah KEYS,27 SEP 1991,USA,3,"Eugene, OR (USA)",12 JUN 2014,1137,11.12,7.31,13.74,2.02,50.00,14.78,37.93,4.90,68.18,4:28.29
1425,8068,Yordani GARCÍA,21 NOV 1988,CUB,2,La Habana (CUB),18 MAR 2016,1137,10.86,6.66,14.48,2.00,49.19,14.32,39.90,4.90,65.38,4:31.84
1430,8067,Sebastian CHMARA,21 NOV 1971,POL,1f,Bressanone (ITA),05 JUL 1998,1137,11.14,7.45,15.60,2.13,49.01,14.58,42.70,5.00,53.41,5:04.82
1430,8067,Roland SCHWARZL,10 DEC 1980,AUT,11,Götzis (AUT),30 MAY 2004,1137,11.08,7.57,14.23,2.00,49.82,14.53,44.38,4.90,55.85,4:38.92
1430,8067,Romain BARRAS,01 AUG 1980,FRA,13,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1137,11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.60,64.55,4:27.09
1430,8067,Erki NOOL,25 JUN 1970,EST,4,Talence (FRA),26 SEP 2004,1137,11.02,7.23,14.25,1.92,48.93,14.99,40.87,5.32,62.77,4:40.15
1430,8067,Roman ŠEBRLE,26 NOV 1974,CZE,4,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,1137,11.24,7.37,15.71,2.04,50.13,14.86,42.60,4.85,63.44,4:47.53
1430,8067,Yordani GARCÍA,21 NOV 1988,CUB,6,Kladno (CZE),16 JUN 2011,1137,10.85,6.87,14.77,2.01,49.50,14.36,41.97,4.90,59.84,4:34.77
1430,8067,Isaac MURPHY,10 MAY 1990,USA,1,"Austin, TX (USA)",29 MAR 2012,1137,10.47,7.53,13.07,1.87,48.01,14.42,41.71,4.90,52.12,4:28.44
1430,8067,Artem LUKYANENKO,30 JAN 1990,RUS,4,"Kadrioru staadion, Tallinn (EST)",30 JUN 2013,1137,11.04,7.05,14.46,1.98,50.75,14.20,44.25,5.10,62.73,4:45.37
1430,8067,Jan DOLEŽAL,06 JUN 1996,CZE,8,"Olympiastadion, Berlin (GER)",08 AUG 2018,1137,11.06,7.12,14.03,2.02,49.42,14.58,45.81,4.80,62.67,4:41.27
1430,8067,Manuel EITEL,28 JAN 1997,GER,3,"Gunder Hägg Stadion, Gävle (SWE)",14 JUL 2019,1137,10.42,7.13,14.43,1.97,48.34,14.48,41.36,4.70,60.17,4:46.53
1430,8067,Maicel UIBO,27 DEC 1992,EST,7,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,1137,11.21,7.17,14.33,2.06,51.72,14.95,47.81,5.30,58.32,4:43.89
1441,8066,Frank MÜLLER,18 JUN 1968,GER,13,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1136,10.95,7.25,13.55,1.97,47.98,14.51,42.56,4.60,61.84,4:29.19
1441,8066,Valeriy BELOUSOV,22 JAN 1970,RUS,2,Krasnodar (RUS),21 MAY 1997,1136,11.23,7.16,14.55,2.11,51.07,14.45,44.48,4.60,61.12,4:28.95
1441,8066,Mike MACZEY,28 SEP 1972,GER,7,"Stadionring, Ratingen (GER)",16 JUN 2002,1136
1441,8066,Vasiliy KHARLAMOV,08 JAN 1986,RUS,2,Cheboksary (RUS),10 JUN 2011,1136,11.39,7.44,15.75,1.91,50.14,14.72,46.68,5.00,59.57,4:40.48
1441,8066,Tim EHRHARDT,16 MAR 1995,USA,3f4,"Azusa, CA (USA)",18 APR 2019,1136,10.96,7.44,13.23,1.99,47.91,15.29,39.51,5.30,52.57,4:23.66
1446,8065,Tomáš DVOŘÁK,11 MAY 1972,CZE,7,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,1136,10.93,7.69,14.55,2.02,48.94,14.25,42.84,4.00,59.54,4:29.69
1446,8065,Dmitriy IVANOV,23 MAR 1977,RUS,1,St. Petersburg (RUS),10 JUN 2001,1136
1446,8065,Vasiliy KHARLAMOV,08 JAN 1986,RUS,16,"Olympiastadion, Berlin (GER)",20 AUG 2009,1136,11.22,7.38,14.95,1.93,49.44,14.83,46.24,5.00,59.93,4:41.54
1446,8065,Gonzalo BARROILHET,13 AUG 1986,CHI,1,"Charlottesville, VA (USA)",20 APR 2012,1136,10.99,6.96,14.34,2.06,50.84,14.14,45.22,5.30,54.70,4:49.19
1450,8064,Sheldon BLOCKBURGER,19 SEP 1964,USA,8,Götzis (AUT),29 MAY 1994,1136,10.60,7.67,14.73,2.11,53.76,14.83,42.74,4.70,60.88,4:45.52
1450,8064,Mike MACZEY,28 SEP 1972,GER,4,"Stadionring, Ratingen (GER)",18 JUL 1999,1136
1450,8064,Romain BARRAS,01 AUG 1980,FRA,10,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1136,11.26,6.83,14.67,1.94,49.48,14.27,43.53,5.00,62.61,4:26.88
1450,8064,Paul TEREK,20 OCT 1979,USA,2,"Indianapolis, IN (USA)",23 JUN 2007,1136,11.03,7.26,15.27,2.02,48.70,14.92,42.60,5.10,52.95,4:39.98
1450,8064,Pascal BEHRENBRUCH,19 JAN 1985,GER,10,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1136,10.99,6.87,16.44,1.97,50.31,14.60,47.01,4.86,64.60,4:56.12
1450,8064,Adam Sebastian HELCELET,27 OCT 1991,CZE,3,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2012,1136,11.10,7.26,14.28,2.07,49.09,14.48,41.33,4.82,60.46,4:40.98
1450,8064,Bastien AUZEIL,22 OCT 1989,FRA,13,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1136,11.17,7.07,15.41,1.98,49.34,14.82,42.23,5.10,61.91,4:40.50
1450,8064,Paweł WIESIOŁEK,13 AUG 1991,POL,12,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1136,10.76,7.02,15.26,1.96,49.37,14.65,47.20,4.90,55.00,4:42.06
1450,8064,Ryan TALBOT,07 OCT 2000,USA,1,"University of Minnesota T&F Stadium, Minneapolis, MN (USA)",14 MAY 2022,1136,10.60,7.06,13.20,1.91,47.82,14.83,47.98,5.20,53.32,4:43.97
1450,8064,Till STEINFORTH,11 JUN 2002,GER,1,"Billy Hayes T& F Complex, Bloomington, IN (USA)",13 MAY 2023,1136,10.66,7.75,14.09,1.90,48.06,14.16,39.25,5.00,53.20,4:48.86
1460,8062,Michael KOHNLE,03 MAY 1970,GER,6,Götzis (AUT),16 JUN 1991,1136,10.71,7.44,14.96,2.05,48.31,14.50,40.42,4.70,59.18,5:00.64
1460,8062,Philipp HUBER,18 FEB 1974,SUI,2,Ibach (SUI),02 JUL 2000,1136,11.04,7.17,14.80,1.89,49.24,14.54,44.17,4.90,59.27,4:27.57
1460,8062,Kurt FELIX,04 JUL 1988,GRN,1,"Des Moines, IA (USA)",07 JUN 2012,1136,10.90,7.40,13.08,2.05,48.77,15.01,41.51,4.60,69.36,4:42.93
1460,8062,Oleksiy KASYANOV,26 AUG 1985,UKR,2,"Stade Pierre Paul Bernard, Talence (FRA)",21 SEP 2014,1136,10.89,7.40,14.44,1.99,49.30,14.35,46.58,4.70,50.16,4:31.88
1460,8062,Austin WEST,17 MAR 2000,USA,1,"St. Mark's School of Texas, Dallas, TX (USA)",10 JUL 2022,1136,10.75,7.55,14.22,1.93,46.92,14.64,43.48,4.01,59.24,4:25.03
1460,8062,Sander SKOTHEIM,31 MAY 2002,NOR,15,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1136,10.88,7.55,13.69,2.17,49.80,15.05,42.89,4.70,55.47,4:40.84
1466,8061,Jack ROSENDAAL,12 SEP 1973,NED,2,Oulu (FIN),29 JUN 1997,1136,11.11,7.16,13.26,2.04,50.42,14.63,42.42,4.90,62.18,4:22.38
1466,8061,Stephen HARRIS,05 DEC 1980,USA,1,"Sacramento, CA (USA)",12 JUN 2003,1136,10.87,7.50,12.60,2.05,47.96,14.50,39.96,4.70,58.69,4:33.73
1466,8061,Ashton EATON,21 JAN 1988,USA,17,"Olympiastadion, Berlin (GER)",20 AUG 2009,1136,10.53,7.85,12.26,2.02,47.75,14.28,37.15,5.00,50.87,4:45.03
1466,8061,Yordani GARCÍA,21 NOV 1988,CUB,7,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1136,10.94,6.56,14.99,2.06,49.30,14.37,41.96,4.66,65.36,4:33.10
1470,8060,Chiel WARNERS,02 APR 1978,NED,2,Tallinn (EST),06 JUL 2003,1135,10.76,7.69,14.53,1.97,47.91,14.34,41.79,4.60,56.96,4:53.28
1470,8060,Romain BARRAS,01 AUG 1980,FRA,2,Talence (FRA),21 SEP 2003,1135,11.42,7.18,14.89,2.00,48.80,14.49,42.67,4.62,63.07,4:26.77
1470,8060,Romain BARRAS,01 AUG 1980,FRA,5,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,1135,11.06,7.22,14.29,1.95,50.25,14.31,43.54,4.70,62.09,4:24.65
1470,8060,Karl Robert SALURI,06 AUG 1993,EST,1,"Athens, GA (USA)",05 APR 2019,1135,10.50,7.57,14.60,1.88,48.31,14.88,42.23,4.65,56.09,4:33.55
1470,8060,Mathias BRUGGER,06 AUG 1992,GER,11,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1135,11.04,7.30,15.26,1.94,48.28,14.42,40.55,4.80,55.29,4:28.03
1470,8060,Ashley MOLONEY,13 MAR 2000,AUS,1,"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",18 DEC 2022,1135,10.45,7.52,14.00,1.95,48.43,14.31,42.83,4.90,52.89,4:54.71
1470,8060,Ken MULLINGS,28 APR 1997,BAH,2,San Salvador (ESA),04 JUL 2023,1135,10.69,7.06,14.74,2.13,49.26,14.06,44.63,4.60,55.92,4:59.92
1477,8059,Norbert DEMMEL,10 MAY 1963,FRG,3,Tønsberg (NOR),16 JUL 1989,1135,11.34,6.87,16.60,1.95,48.86,15.04,50.60,4.50,58.20,4:25.07
1477,8059,Indrek KASEORG,16 DEC 1967,EST,4,Talence (FRA),19 SEP 1999,1135
1477,8059,Vasiliy KHARLAMOV,08 JAN 1986,RUS,2,Cheboksary (RUS),03 JUN 2012,1135,11.38,7.37,15.49,1.94,49.55,14.83,47.45,4.60,65.00,4:39.37
1477,8059,Yevgeniy SARANTSEV,05 FEB 1988,RUS,1,"Adler, Sochi (RUS)",12 MAY 2015,1135,11.41,7.18,15.72,2.00,51.40,15.05,44.90,5.10,65.94,4:42.26
1481,8058,Mikhail MEDVED,30 JAN 1964,URS,4,Tønsberg (NOR),16 JUL 1989,1135,11.26,7.48,14.77,2.01,50.43,14.66,49.76,4.80,60.18,4:54.16
1481,8058,Eugenio BALANQUE,20 DEC 1968,CUB,5,Arles (FRA),04 JUN 2000,1135,10.71,7.07,14.90,1.93,48.20,14.25,42.14,4.85,61.21,4:51.75
1481,8058,Roman ŠEBRLE,26 NOV 1974,CZE,2,Kladno (CZE),24 JUN 2009,1135,11.15,7.66,14.76,2.06,50.72,14.43,43.54,4.60,63.56,4:52.90
1481,8058,Simon HECHLER,15 JUN 1988,GER,1,"Chula Vista, CA (USA)",14 AUG 2011,1135,10.62,7.67,13.85,1.92,49.89,14.56,44.09,4.61,58.18,4:35.39
1481,8058,Keisuke USHIRO,24 JUL 1986,JPN,1,Nagano (JPN),05 JUL 2015,1135,11.35,7.01,15.65,2.03,50.52,15.00,49.33,4.80,61.72,4:38.97
1481,8058,Pieter BRAUN,21 JAN 1993,NED,8,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1135,11.11,7.40,14.75,2.00,49.28,14.59,44.65,4.60,55.70,4:27.06
1481,8058,Vitaliy ZHUK,10 SEP 1996,BLR,13,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1135,10.95,6.63,15.13,1.96,48.08,14.49,46.64,4.80,58.66,4:35.45
1481,8058,Adam Sebastian HELCELET,27 OCT 1991,CZE,2,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,1135,11.12,7.42,15.32,1.98,50.70,14.63,44.94,4.60,67.29,4:47.59
1481,8058,Jose Fernando FERREIRA SANTANA,27 MAR 1999,BRA,1,"COTP Stadium, São Paulo (BRA)",29 JUL 2023,1135,10.91,7.16,13.46,1.90,49.13,14.00,45.61,4.90,67.83,4:58.04
1490,8057,Uwe FREIMUTH,10 SEP 1961,GDR,7,Krefeld (GER),08 SEP 1985,1135,11.19,7.49,15.96,1.95,49.11,14.73,45.32,4.20,63.90,4:34.10
1490,8057,Kip JANVRIN,08 JUL 1965,USA,3,"Sacramento, CA (USA)",21 JUL 2000,1135
1490,8057,Yunior DIAZ,28 APR 1987,CUB,1,La Habana (CUB),08 MAR 2008,1135,10.4,7.74,15.42,2.05,46.7,14.4,42.67,4.00,48.54,4:38.3
1490,8057,Florian GEFFROUAIS,05 DEC 1988,FRA,1,Valence (FRA),09 JUL 2010,1135,11.00,7.25,14.72,1.96,49.51,15.09,43.09,4.70,62.12,4:23.25
1490,8057,Brent NEWDICK,31 JAN 1985,NZL,1,Melbourne (AUS),14 APR 2012,1135,11.02,7.56,14.48,1.95,49.22,14.55,48.25,4.70,56.43,4:46.21
1490,8057,Tim NOWAK,13 AUG 1995,GER,4,"Stadionring, Ratingen (GER)",17 JUN 2018,1135,11.18,7.21,14.40,2.04,48.90,15.16,37.30,5.00,63.12,4:24.98
1490,8057,Baptiste THIERY,29 JUN 2001,FRA,9,"Olympiastadion, München (GER)",16 AUG 2022,1135,10.87,6.94,12.95,1.90,47.66,15.10,41.93,5.40,55.07,4:18.13
1497,8056,Roman ŠEBRLE,26 NOV 1974,CZE,5f,Talence (FRA),13 SEP 1998,1135,10.99,7.77,14.02,2.04,50.46,14.23,42.00,4.80,58.42,4:50.76
1497,8056,Scott FERRIER,12 JUN 1974,AUS,1,Hobart (AUS),28 FEB 1999,1135
1497,8056,Jiří RYBA,15 JUN 1976,CZE,14,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1135,11.14,7.10,14.21,2.00,48.97,14.99,42.83,4.90,57.76,4:18.21
1497,8056,Paolo CASARSA,02 JUL 1975,ITA,1,Südstadt (AUT),06 JUN 2004,1135,11.09,7.09,15.48,2.00,50.28,14.30,49.59,4.80,61.63,5:02.31
1497,8056,Ashley BRYANT,17 MAY 1991,GBR,9,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1135,11.08,7.58,13.28,2.00,49.54,14.70,43.48,4.40,66.47,4:29.75
1497,8056,Janek ÕIGLANE,25 APR 1994,EST,2,"Kadrioru staadion, Tallinn (EST)",27 JUN 2021,1135,11.18,7.11,14.95,2.01,51.31,14.92,45.94,5.01,64.91,4:41.72
1497,8056,Sven ROOSEN,27 JUL 2001,NED,2,"Kadrioru staadion, Tallinn (EST)",11 JUL 2021,1135,10.85,7.44,14.75,1.87,47.27,14.33,41.97,4.30,58.95,4:25.38
1504,8055,Eugène MARTINEAU,14 MAY 1980,NED,13,"National Stadium, Beijing (CHN)",22 AUG 2008,1135,11.19,7.19,13.78,1.99,49.99,14.73,44.09,4.70,71.44,4:37.96
1504,8055,Eugène MARTINEAU,14 MAY 1980,NED,18,"Olympiastadion, Berlin (GER)",20 AUG 2009,1135,11.18,7.41,12.66,1.99,50.26,14.91,44.94,4.80,70.14,4:35.27
1504,8055,Nikolay SHUBENOK,04 MAY 1985,BLR,1,Asikkala (FIN),05 AUG 2012,1135,11.48,7.14,14.97,2.07,50.59,14.58,43.50,4.80,63.65,4:32.59
1504,8055,Pascal BEHRENBRUCH,19 JAN 1985,GER,4,"Stadionring, Ratingen (GER)",29 JUN 2014,1135,11.00,6.94,15.07,1.98,49.22,14.32,43.16,4.90,64.83,4:51.30
1504,8055,Martin ROE,01 APR 1992,NOR,1,"Sportplatz Lana, Lana (ITA)",25 APR 2021,1135,10.90,7.51,14.88,1.95,50.48,15.40,46.86,4.85,65.14,4:50.56
1504,8055,Maksim ANDRALOITS,17 JUN 1997,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",30 JUL 2023,1135,10.97,7.26,15.78,2.06,49.92,14.59,44.94,4.80,55.25,4:50.65
1510,8054,Raúl DUANY BUENO,04 JAN 1975,CUB,15,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1135,11.09,7.33,13.34,2.06,49.73,14.44,41.17,4.60,64.31,4:29.68
1510,8054,Willem COERTZEN,30 DEC 1982,RSA,11,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1135,11.08,7.58,13.31,2.03,48.88,14.39,42.35,4.20,65.05,4:29.42
1510,8054,Austin WEST,17 MAR 2000,USA,3,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1135,10.82,7.31,14.17,1.95,46.56,14.45,44.55,4.01,64.85,4:39.75
1513,8053,Yunior DIAZ,28 APR 1987,CUB,2,La Habana (CUB),06 MAY 2011,1134,11.01,7.39,14.99,1.92,48.14,14.84,45.00,4.40,62.14,4:32.56
1514,8052,Henrik DAGÅRD,07 AUG 1969,SWE,9,"Poljud Stadion, Split (CRO)",29 AUG 1990,1134,10.93,7.44,12.39,1.98,46.95,14.63,39.72,4.70,63.54,4:34.46
1514,8052,Andrei NAZAROV,09 JAN 1965,EST,14,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1134,11.03,7.13,13.11,2.09,49.03,14.60,44.58,4.80,54.56,4:26.19
1514,8052,Eelco SINTNICOLAAS,07 APR 1987,NED,12,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1134,10.89,7.76,13.64,1.91,48.45,14.55,35.46,5.20,54.20,4:29.20
1514,8052,Roman ŠEBRLE,26 NOV 1974,CZE,6,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,1134,11.19,7.43,14.65,2.00,49.87,14.45,44.05,4.90,61.78,4:50.74
1518,8051,Dezső SZABÓ,04 SEP 1967,HUN,1,Fukuoka (JPN),02 SEP 1995,1134
1518,8051,Philipp HUBER,18 FEB 1974,SUI,11,Götzis (AUT),31 MAY 1998,1134,10.99,7.49,13.54,1.85,48.19,14.64,42.37,5.00,59.35,4:30.52
1518,8051,Volodimir MIKHAYLENKO,27 AUG 1973,UKR,1,Kyiv (UKR),04 JUN 2000,1134,11.07,7.53,14.20,2.00,48.56,14.56,41.00,4.90,50.70,4:25.9
1518,8051,Laurent HERNU,22 AUG 1976,FRA,7,"Olympiastadion, München (GER)",08 AUG 2002,1134,11.22,7.32,13.18,2.00,49.32,14.35,45.84,4.90,58.56,4:35.25
1518,8051,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Izmir (TUR),19 AUG 2005,1134,11.26,7.14,15.98,2.01,50.32,14.92,40.94,4.80,63.75,4:28.99
1518,8051,Niels PITTOMVILS,18 JUL 1992,BEL,10,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1134,11.15,7.24,13.40,2.00,50.14,14.77,44.43,5.20,57.89,4:30.85
1518,8051,Malik DIAKITE,08 FEB 2000,GER,2,"St. Mark's School of Texas, Dallas, TX (USA)",10 JUL 2022,1134,10.96,7.30,14.23,1.93,48.30,14.69,42.95,4.71,57.46,4:24.12
1525,8050,Lev LOBODIN,01 APR 1969,UKR,9,Götzis (AUT),29 MAY 1994,1134,10.65,7.45,14.85,2.02,49.72,14.38,42.96,4.90,52.16,4:52.09
1525,8050,Ramil GANIYEV,23 SEP 1968,UZB,8,Götzis (AUT),01 JUN 1997,1134,10.94,7.61,13.82,2.06,49.16,14.32,41.92,4.90,51.44,4:43.95
1525,8050,Raúl DUANY BUENO,04 JAN 1975,CUB,1,Palma de Mallorca (ESP),12 JUL 1999,1134
1525,8050,Henrik DAGÅRD,07 AUG 1969,SWE,14,Götzis (AUT),04 JUN 2000,1134,10.72,7.18,14.66,1.97,48.92,14.56,42.94,4.95,62.65,5:00.38
1525,8050,Claston BERNARD,22 MAR 1979,JAM,1,"College Station, TX (USA)",15 MAR 2002,1134
1525,8050,Claston BERNARD,22 MAR 1979,JAM,1,Desenzano del Garda (ITA),09 MAY 2004,1134
1525,8050,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Minsk (BLR),08 JUN 2006,1134,11.32,7.12,16.01,1.97,51.69,14.87,43.74,4.90,64.80,4:28.40
1525,8050,Leonel SUÁREZ,01 SEP 1987,CUB,2,La Habana (CUB),08 MAR 2008,1134,10.6,7.15,11.86,2.17,48.9,14.4,41.49,4.70,61.80,4:35.4
1525,8050,Adam Sebastian HELCELET,27 OCT 1991,CZE,11,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1134,10.96,7.21,14.52,2.00,50.23,14.57,46.47,4.40,67.11,4:40.99
