Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
1446,8065,Vasiliy KHARLAMOV,08 JAN 1986,RUS,16,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.38,46.24,59.93,4:41.54,24.99,3522
1450,8064,Sheldon BLOCKBURGER,19 SEP 1964,USA,8,Götzis (AUT),29 MAY 1994,7.67,42.74,60.88,4:45.52,24.00,3617
1450,8064,Romain BARRAS,01 AUG 1980,FRA,10,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,6.83,43.53,62.61,4:26.88,24.10,3694
1450,8064,Paul TEREK,20 OCT 1979,USA,2,"Indianapolis, IN (USA)",23 JUN 2007,7.26,42.6,52.95,4:39.98,23.76,3516
1450,8064,Pascal BEHRENBRUCH,19 JAN 1985,GER,10,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,6.87,47.01,64.6,4:56.12,23.89,3457
1450,8064,Adam Sebastian HELCELET,27 OCT 1991,CZE,3,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2012,7.26,41.33,60.46,4:40.98,23.63,3603
1450,8064,Bastien AUZEIL,22 OCT 1989,FRA,13,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.07,42.23,61.91,4:40.50,23.01,3688
1450,8064,Paweł WIESIOŁEK,13 AUG 1991,POL,12,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.02,47.2,55,4:42.06,23.13,3636
1450,8064,Ryan TALBOT,07 OCT 2000,USA,1,"University of Minnesota T&F Stadium, Minneapolis, MN (USA)",14 MAY 2022,7.06,47.98,53.32,4:43.97,23.24,3596
1450,8064,Till STEINFORTH,11 JUN 2002,GER,1,"Billy Hayes T& F Complex, Bloomington, IN (USA)",13 MAY 2023,7.75,39.25,53.2,4:48.86,23.77,3452
1460,8062,Michael KOHNLE,03 MAY 1970,GER,6,Götzis (AUT),16 JUN 1991,7.44,40.42,59.18,5:00.64,23.52,3377
1460,8062,Philipp HUBER,18 FEB 1974,SUI,2,Ibach (SUI),02 JUL 2000,7.17,44.17,59.27,4:27.57,23.69,3778
1460,8062,Kurt FELIX,04 JUL 1988,GRN,1,"Des Moines, IA (USA)",07 JUN 2012,7.4,41.51,69.36,4:42.93,22.81,3848
1460,8062,Oleksiy KASYANOV,26 AUG 1985,UKR,2,"Stade Pierre Paul Bernard, Talence (FRA)",21 SEP 2014,7.4,46.58,50.16,4:31.88,23.85,3669
1460,8062,Austin WEST,17 MAR 2000,USA,1,"St. Mark's School of Texas, Dallas, TX (USA)",10 JUL 2022,7.55,43.48,59.24,4:25.03,24.21,3809
1460,8062,Sander SKOTHEIM,31 MAY 2002,NOR,15,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.55,42.89,55.47,4:40.84,23.23,3680
1466,8061,Jack ROSENDAAL,12 SEP 1973,NED,2,Oulu (FIN),29 JUN 1997,7.16,42.42,62.18,4:22.38,22.94,3950
1466,8061,Stephen HARRIS,05 DEC 1980,USA,1,"Sacramento, CA (USA)",12 JUN 2003,7.5,39.96,58.69,4:33.73,23.73,3682
1466,8061,Ashton EATON,21 JAN 1988,USA,17,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.85,37.15,50.87,4:45.03,23.14,3534
1466,8061,Yordani GARCÍA,21 NOV 1988,CUB,7,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,6.56,41.96,65.36,4:33.10,23.88,3597
1470,8060,Chiel WARNERS,02 APR 1978,NED,2,Tallinn (EST),06 JUL 2003,7.69,41.79,56.96,4:53.28,24.12,3436
1470,8060,Romain BARRAS,01 AUG 1980,FRA,2,Talence (FRA),21 SEP 2003,7.18,42.67,63.07,4:26.77,23.10,3896
1470,8060,Romain BARRAS,01 AUG 1980,FRA,5,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,7.22,43.54,62.09,4:24.65,23.45,3886
1470,8060,Karl Robert SALURI,06 AUG 1993,EST,1,"Athens, GA (USA)",05 APR 2019,7.57,42.23,56.09,4:33.55,23.11,3788
1470,8060,Mathias BRUGGER,06 AUG 1992,GER,11,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.3,40.55,55.29,4:28.03,23.55,3697
1470,8060,Ashley MOLONEY,13 MAR 2000,AUS,1,"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",18 DEC 2022,7.52,42.83,52.89,4:54.71,23.85,3379
1477,8059,Norbert DEMMEL,10 MAY 1963,FRG,3,Tønsberg (NOR),16 JUL 1989,6.87,50.6,58.2,4:25.07,24.10,3792
1477,8059,Vasiliy KHARLAMOV,08 JAN 1986,RUS,2,Cheboksary (RUS),03 JUN 2012,7.37,47.45,65,4:39.37,24.32,3731
1477,8059,Yevgeniy SARANTSEV,05 FEB 1988,RUS,1,"Adler, Sochi (RUS)",12 MAY 2015,7.18,44.9,65.94,4:42.26,23.21,3769
1481,8058,Mikhail MEDVED,30 JAN 1964,URS,4,Tønsberg (NOR),16 JUL 1989,7.48,49.76,60.18,4:54.16,24.34,3542
1481,8058,Eugenio BALANQUE,20 DEC 1968,CUB,5,Arles (FRA),04 JUN 2000,7.07,42.14,61.21,4:51.75,23.71,3442
1481,8058,Roman ŠEBRLE,26 NOV 1974,CZE,2,Kladno (CZE),24 JUN 2009,7.66,43.54,63.56,4:52.90,24.41,3520
1481,8058,Simon HECHLER,15 JUN 1988,GER,1,"Chula Vista, CA (USA)",14 AUG 2011,7.67,44.09,58.18,4:35.39,23.83,3753
1481,8058,Keisuke USHIRO,24 JUL 1986,JPN,1,Nagano (JPN),05 JUL 2015,7.01,49.33,61.72,4:38.97,23.33,3779
1481,8058,Pieter BRAUN,21 JAN 1993,NED,8,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.4,44.65,55.7,4:27.06,24.31,3710
1481,8058,Vitaliy ZHUK,10 SEP 1996,BLR,13,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,6.63,46.64,58.66,4:35.45,23.65,3605
1481,8058,Adam Sebastian HELCELET,27 OCT 1991,CZE,2,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,7.42,44.94,67.29,4:47.59,23.83,3691
1490,8057,Uwe FREIMUTH,10 SEP 1961,GDR,7,Krefeld (GER),08 SEP 1985,7.49,45.32,63.9,4:34.10,22.50,4012
1490,8057,Yunior DIAZ,28 APR 1987,CUB,1,La Habana (CUB),08 MAR 2008,7.74,42.67,48.54,4:38.3,23.75,3581
1490,8057,Florian GEFFROUAIS,05 DEC 1988,FRA,1,Valence (FRA),09 JUL 2010,7.25,43.09,62.12,4:23.25,23.75,3862
1490,8057,Brent NEWDICK,31 JAN 1985,NZL,1,Melbourne (AUS),14 APR 2012,7.56,48.25,56.43,4:46.21,23.13,3740
1490,8057,Tim NOWAK,13 AUG 1995,GER,4,"Stadionring, Ratingen (GER)",17 JUN 2018,7.21,37.3,63.12,4:24.98,24.15,3686
1497,8056,Roman ŠEBRLE,26 NOV 1974,CZE,5f,Talence (FRA),13 SEP 1998,7.77,42,58.42,4:50.76,23.75,3559
1497,8056,Jiří RYBA,15 JUN 1976,CZE,14,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.1,42.83,57.76,4:18.21,23.90,3806
1497,8056,Paolo CASARSA,02 JUL 1975,ITA,1,Südstadt (AUT),06 JUN 2004,7.09,49.59,61.63,5:02.31,24.56,3343
1497,8056,Ashley BRYANT,17 MAY 1991,GBR,9,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.58,43.48,66.47,4:29.75,22.99,4022
1497,8056,Janek ÕIGLANE,25 APR 1994,EST,2,"Kadrioru staadion, Tallinn (EST)",27 JUN 2021,7.11,45.94,64.91,4:41.72,24.12,3643
1497,8056,Sven ROOSEN,27 JUL 2001,NED,2,"Kadrioru staadion, Tallinn (EST)",11 JUL 2021,7.44,41.97,58.95,4:25.38,24.21,3749
1504,8055,Eugène MARTINEAU,14 MAY 1980,NED,13,"National Stadium, Beijing (CHN)",22 AUG 2008,7.19,44.09,71.44,4:37.96,24.52,3711
1504,8055,Eugène MARTINEAU,14 MAY 1980,NED,18,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.41,44.94,70.14,4:35.27,23.74,3895
1504,8055,Nikolay SHUBENOK,04 MAY 1985,BLR,1,Asikkala (FIN),05 AUG 2012,7.14,43.5,63.65,4:32.59,24.09,3705
1504,8055,Pascal BEHRENBRUCH,19 JAN 1985,GER,4,"Stadionring, Ratingen (GER)",29 JUN 2014,6.94,43.16,64.83,4:51.30,23.95,3457
1504,8055,Martin ROE,01 APR 1992,NOR,1,"Sportplatz Lana, Lana (ITA)",25 APR 2021,7.51,46.86,65.14,4:50.56,23.97,3659
1504,8055,Maksim ANDRALOITS,17 JUN 1997,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",30 JUL 2023,7.26,44.94,55.25,4:50.65,23.68,3469
1510,8054,Raúl DUANY BUENO,04 JAN 1975,CUB,15,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.33,41.17,64.31,4:29.68,22.73,3931
1510,8054,Willem COERTZEN,30 DEC 1982,RSA,11,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.58,42.35,65.05,4:29.42,23.39,3932
1510,8054,Austin WEST,17 MAR 2000,USA,3,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,7.31,44.55,64.85,4:39.75,22.94,3843
1513,8053,Yunior DIAZ,28 APR 1987,CUB,2,La Habana (CUB),06 MAY 2011,7.39,45,62.14,4:32.56,23.70,3818
1514,8052,Henrik DAGÅRD,07 AUG 1969,SWE,9,"Poljud Stadion, Split (CRO)",29 AUG 1990,7.44,39.72,63.54,4:34.46,23.41,3767
1514,8052,Andrei NAZAROV,09 JAN 1965,EST,14,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.13,44.58,54.56,4:26.19,24.08,3676
1514,8052,Roman ŠEBRLE,26 NOV 1974,CZE,6,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,7.43,44.05,61.78,4:50.74,23.39,3619
1518,8051,Philipp HUBER,18 FEB 1974,SUI,11,Götzis (AUT),31 MAY 1998,7.49,42.37,59.35,4:30.52,23.92,3748
1518,8051,Volodimir MIKHAYLENKO,27 AUG 1973,UKR,1,Kyiv (UKR),04 JUN 2000,7.53,41,50.7,4:25.9,24.28,3619
1518,8051,Laurent HERNU,22 AUG 1976,FRA,7,"Olympiastadion, München (GER)",08 AUG 2002,7.32,45.84,58.56,4:35.25,24.15,3674
1518,8051,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Izmir (TUR),19 AUG 2005,7.14,40.94,63.75,4:28.99,23.41,3795
1518,8051,Niels PITTOMVILS,18 JUL 1992,BEL,10,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.24,44.43,57.89,4:30.85,23.67,3740
1518,8051,Malik DIAKITE,08 FEB 2000,GER,2,"St. Mark's School of Texas, Dallas, TX (USA)",10 JUL 2022,7.3,42.95,57.46,4:24.12,23.68,3803
1525,8050,Ramil GANIYEV,23 SEP 1968,UZB,8,Götzis (AUT),01 JUN 1997,7.61,41.92,51.44,4:43.95,23.45,3550
1525,8050,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Minsk (BLR),08 JUN 2006,7.12,43.74,64.8,4:28.40,24.05,3779
1525,8050,Leonel SUÁREZ,01 SEP 1987,CUB,2,La Habana (CUB),08 MAR 2008,7.15,41.49,61.8,4:35.4,24.46,3559
1525,8050,Adam Sebastian HELCELET,27 OCT 1991,CZE,11,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.21,46.47,67.11,4:40.99,22.94,3873
1525,8050,Janek ÕIGLANE,25 APR 1994,EST,12,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.26,43.75,69,4:34.64,24.31,3756
1535,8049,Stefan DREWS,12 FEB 1979,GER,1,Vaterstetten (GER),26 AUG 2001,7.02,37.99,53.93,4:23.76,23.84,3585
1535,8049,Niels PITTOMVILS,18 JUL 1992,BEL,1,Villeneuve d'Ascq (FRA),11 JUL 2015,7.22,43.07,54.82,4:29.76,23.58,3694
1535,8049,Ashley BRYANT,17 MAY 1991,GBR,11,"Olympic Stadium, London (GBR)",12 AUG 2017,7.44,43.95,67.97,4:27.15,23.80,3946
1538,8048,Nikolay AVERYANOV,04 FEB 1980,RUS,1,Tula (RUS),24 JUN 2004,7.6,40.77,55.1,4:26.86,23.74,3752
1538,8048,Yordani GARCÍA,21 NOV 1988,CUB,3,"Stadio Tre Stelle, Desenzano del Garda (ITA)",09 MAY 2010,6.73,44.87,58.53,4:40.49,23.06,3609
1538,8048,Georni JARAMILLO,06 MAR 1989,VEN,1,Barquisimeto (VEN),05 MAY 2018,7.59,44.86,61.6,5:00.05,23.77,3499
1538,8048,Ituah ENAHORO,15 DEC 1997,GER,5,"Stadionring, Ratingen (GER)",17 JUN 2018,7.45,47.56,52.94,4:31.29,23.52,3788
1544,8047,Cedric LOPEZ,13 FEB 1973,FRA,13,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.13,40.96,64.88,4:25.96,23.88,3784
1544,8047,Hans VAN ALPHEN,12 JAN 1982,BEL,2,Bangkok (THA),13 AUG 2007,7.49,45.32,60.79,4:21.05,24.08,3919
1544,8047,Zachery ZIEMEK,23 FEB 1993,USA,2,"Athens, GA (USA)",07 APR 2016,7.47,46.86,57.44,4:52.23,23.21,3623
1547,8046,Romain BARRAS,01 AUG 1980,FRA,1,Niamey (NIG),15 DEC 2005,7.15,45.06,57.88,4:31.02,23.37,3771
1547,8046,Dominik DISTELBERGER,16 MAR 1990,AUT,13,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.15,43.08,60.11,4:35.68,23.35,3710
1547,8046,Hunter VEITH,14 JAN 1995,USA,1,"Austin, TX (USA)",29 MAR 2018,7.78,37.47,55.76,4:52.63,24.85,3269
1547,8046,Johannes ERM,26 MAR 1998,EST,3,"Eugene, OR (USA)",07 JUN 2018,7.98,44.21,55.21,4:54.46,23.38,3603
1551,8045,Rojs PIZIKS,12 FEB 1971,LAT,2,Riga (LAT),16 JUN 1996,7.21,46.42,62.52,4:33.07,24.09,3752
1551,8045,Ramil GANIYEV,23 SEP 1968,UZB,12,Götzis (AUT),31 MAY 1998,7.83,43.06,51.66,5:10.92,23.06,3337
1551,8045,Christopher HALLMANN,06 JUN 1983,GER,1,Vaterstetten (GER),05 SEP 2004,7.19,41.16,61.9,4:26.31,23.49,3807
1551,8045,Hans VAN ALPHEN,12 JAN 1982,BEL,11,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.5,46.32,60.85,4:21.86,23.62,3992
1551,8045,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,5,"Stadionring, Ratingen (GER)",17 JUL 2011,7.69,48.38,56.65,4:42.59,24.14,3683
1551,8045,Oleksiy KASYANOV,26 AUG 1985,UKR,4,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,7.4,45.31,55.3,4:35.37,23.97,3658
1551,8045,Jan Felix KNOBEL,16 JAN 1989,GER,1,"Bernhausen, Filderstadt (GER)",09 AUG 2015,7.37,44.43,62.32,5:05.93,23.94,3357
1560,8044,Florian SCHÖNBECK,13 JAN 1974,GER,2,"Stadionring, Ratingen (GER)",27 JUN 2004,7.41,47.52,57.11,4:42.07,23.93,3648
1560,8044,Mateo SOSSAH,28 APR 1988,USA,2,"Fayetteville, AR (USA)",11 JUN 2009,7.3,42.44,58.88,4:20.50,22.97,3954
1560,8044,Adam Sebastian HELCELET,27 OCT 1991,CZE,4,Kladno (CZE),10 JUN 2012,7.18,40.31,61.95,4:46.68,23.88,3483
1560,8044,Tim EHRHARDT,16 MAR 1995,USA,1,"Charlottesville, VA (USA)",21 APR 2018,7.29,41.4,53.08,4:30.04,22.87,3745
1564,8043,Nikolay TISHCHENKO,04 FEB 1977,RUS,1,Krasnodar (RUS),29 MAY 2004,7.61,42.82,55.08,4:36.40,23.54,3700
1564,8043,Akihiko NAKAMURA,23 OCT 1990,JPN,1,Wakayama (JPN),26 APR 2015,7.48,34.84,50.57,4:14.79,23.70,3710
1564,8043,Oleksiy KASYANOV,26 AUG 1985,UKR,2,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2015,7.33,48.35,46.98,4:39.61,23.82,3549
1567,8042,Lev LOBODIN,01 APR 1969,UKR,11,Götzis (AUT),28 MAY 1995,7.18,42.56,5,4:41.90,23.74,2801
1567,8042,Indrek KASEORG,16 DEC 1967,EST,11,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.13,42.56,60.86,4:16.99,23.88,3869
1567,8042,André NIKLAUS,30 AUG 1981,GER,1,"Olympisch Stadion, Amsterdam (NED)",13 JUL 2001,7.33,41.82,53.91,4:23.86,23.57,3757
1567,8042,Jaakko OJANIEMI,28 AUG 1980,FIN,9,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.57,42.41,66.27,4:38.18,23.76,3789
1572,8041,Indrek KASEORG,16 DEC 1967,EST,12,Götzis (AUT),28 MAY 1995,7.16,40.34,4.7,4:21.02,23.76,3010
1572,8041,Haifeng QI,07 AUG 1983,CHN,1,Busan (KOR),10 OCT 2002,7.22,43.16,61.04,4:35.17,24.08,3648
1572,8041,Trey HARDEE,07 FEB 1984,USA,2,"Austin, TX (USA)",12 JUN 2004,7.15,44.75,50.93,4:45.86,23.55,3458
1572,8041,Basile ROLNIN,21 JAN 1994,FRA,4,"Stadionring, Ratingen (GER)",25 JUN 2017,7.35,48.98,55.57,4:37.63,23.31,3779
1572,8041,Ondřej KOPECKÝ,16 MAY 1998,CZE,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",15 MAY 2022,7.47,44.06,57.86,4:43.42,24.21,3554
1578,8040,Marcel DOST,28 SEP 1969,NED,14,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.45,42.42,51.8,4:36.68,23.84,3568
1578,8040,Jagan HAMES,31 OCT 1975,AUS,2f,Sydney (AUS),09 AUG 1998,7.55,47.65,57.18,4:52.45,24.13,3525
1578,8040,Nicklas WIBERG,16 APR 1985,SWE,1,Jyväskylä (FIN),29 JUN 2008,6.95,42.68,70.79,4:20.25,23.63,3965
1578,8040,Ashley BRYANT,17 MAY 1991,GBR,5,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,7.56,43.62,70.37,4:33.88,23.51,3954
1578,8040,Martin ROE,01 APR 1992,NOR,12,"Olympic Stadium, London (GBR)",12 AUG 2017,7.5,48.24,58.3,4:39.24,23.05,3851
1583,8039,Michael SMITH,16 SEP 1967,CAN,12,Götzis (AUT),19 JUN 1988,7.34,43.54,60,4:27.54,24.00,3772
1583,8039,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,1,Reykjavík (ISL),02 JUL 1995,7.27,45.42,61.1,4:51.59,24.00,3507
1583,8039,Thomas TEBBICH,04 FEB 1975,AUT,7,Götzis (AUT),30 MAY 1999,7.4,42.57,66.72,4:40.90,24.42,3639
1583,8039,Vitaliy ZHUK,10 SEP 1996,BLR,2,"Dinamo National Olympic Stadium, Minsk (BLR)",30 JUL 2023,6.36,50.9,63.43,4:46.20,22.60,3699
1587,8038,Aleksey DROZDOV,03 DEC 1983,RUS,10,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.24,50.13,63.67,4:38.96,24.30,3741
1587,8038,Ashley MOLONEY,13 MAR 2000,AUS,13,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.52,41.98,56.19,5:03.20,23.42,3362
1587,8038,Jack FLOOD,15 SEP 1995,USA,1,"Ray McDonald, Sr., Track Complex, Mount Olive, NC (USA)",15 MAY 2021,7.39,43.79,56.26,4:31.64,22.56,3877
1587,8038,Ruben GADO,13 DEC 1993,FRA,3,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,7.33,42.53,54.5,4:26.76,23.62,3735
1587,8038,Austin WEST,17 MAR 2000,USA,3,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 APR 2023,7.44,38.89,62.15,4:30.37,23.16,3816
1587,8038,Kai KAZMIREK,28 JAN 1991,GER,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",23 JUL 2023,7.02,42.92,60.92,4:39.34,23.98,3560
1593,8037,Stephen MOORE,13 AUG 1975,USA,2,Aachen (GER),08 AUG 1999,7.6,39.64,53.14,4:44.51,24.39,3396
1593,8037,Laurent HERNU,22 AUG 1976,FRA,5,Talence (FRA),22 SEP 2002,7.19,45.34,57.75,4:35.92,23.79,3665
1593,8037,Keisuke USHIRO,24 JUL 1986,JPN,1,Nagano (JPN),03 JUN 2012,7.45,47.25,66.27,4:42.63,24.30,3724
1593,8037,Dmitriy KARPOV,23 JUL 1981,KAZ,1,Pune (IND),04 JUL 2013,7.01,50.27,48.4,4:57.56,24.18,3262
1593,8037,Janek ÕIGLANE,25 APR 1994,EST,14,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.13,40.96,65.17,4:37.76,24.05,3618
1593,8037,Tim NOWAK,13 AUG 1995,GER,1,Halle (GER),06 MAY 2018,7.1,45.11,61.86,4:24.15,23.97,3822
1593,8037,Martin ROE,01 APR 1992,NOR,1,"Antonio Domínguez Stadium, Arona (ESP)",09 JUN 2019,7.38,46.27,62.08,4:31.96,24.49,3740
1593,8037,Solomon SIMMONS,26 SEP 1993,USA,8,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.56,41.54,63.26,4:38.90,23.63,3737
1602,8036,Simon SHIRLEY,03 AUG 1966,AUS,15,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.45,41.68,64,4:27.48,24.32,3776
1602,8036,Jörg GOEDICKE,25 JUN 1974,GER,2,"Bernhausen, Filderstadt (GER)",22 JUL 2001,7.64,41.81,59.68,4:38.44,23.63,3715
1602,8036,Pavel ANDREYEV,24 NOV 1978,UZB,1,Tashkent (UZB),21 MAY 2004,6.98,45.69,61.1,4:32.56,22.87,3839
1602,8036,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,Talence (FRA),26 SEP 2004,7.3,45.67,55.37,4:28.01,24.00,3732
1602,8036,Larbi BOURRADA,10 MAY 1988,ALG,1,Algiers (ALG),22 MAY 2009,7.69,37.33,61.81,4:19.24,24.30,3823
1602,8036,Romain MARTIN,12 JUL 1988,FRA,1,Hexham (GBR),22 JUL 2018,7.08,39.57,59.05,4:38.86,23.92,3500
1602,8036,Jack FLOOD,15 SEP 1995,USA,9,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.32,42.89,58.51,4:36.23,24.47,3564
1610,8035,Andrei NAZAROV,09 JAN 1965,EST,4,Helmond (NED),02 JUL 1995,7.02,44.1,56.68,4:33.36,23.95,3601
1610,8035,Jack ROSENDAAL,12 SEP 1973,NED,21,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.33,41.24,63.8,4:25.98,23.03,3931
1610,8035,Eugène MARTINEAU,14 MAY 1980,NED,11,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7,41.74,64.48,4:24.59,24.39,3713
1610,8035,Akihiko NAKAMURA,23 OCT 1990,JPN,2,Nagano (JPN),01 JUN 2014,7.35,35.01,50.4,4:15.03,23.59,3694
1610,8035,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,14,"National Stadium, Beijing (CHN)",29 AUG 2015,7.42,43.01,55.23,4:47.38,23.58,3522
1610,8035,Hunter PRICE,28 AUG 1994,USA,1f2,"Cougar Athletic Stadium, Azusa, CA (USA)",14 MAY 2021,7.51,43.25,57.08,4:39.64,23.78,3641
1616,8034,Hans VAN ALPHEN,12 JAN 1982,BEL,11,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.35,44.3,65.71,4:22.50,23.78,3961
1616,8034,Andres RAJA,02 JUN 1982,EST,5,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,7.24,41.37,58.59,4:45.73,23.52,3529
1616,8034,Norman MÜLLER,07 AUG 1985,GER,8,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,7.29,40.38,56.9,4:33.86,23.78,3611
1616,8034,Eelco SINTNICOLAAS,07 APR 1987,NED,11,"Olympic Stadium, London (GBR)",09 AUG 2012,7.37,32.26,58.82,4:31.17,24.16,3489
1616,8034,Luiz Alberto DE ARAUJO,27 JUN 1987,BRA,1,Sao Bernardo do Campo (BRA),16 MAY 2015,7.39,46.79,52.24,4:36.40,23.95,3630
1616,8034,Adam Sebastian HELCELET,27 OCT 1991,CZE,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",23 JUL 2023,7.22,44.48,66.19,4:46.62,23.65,3660
1622,8033,Jan DOLEŽAL,06 JUN 1996,CZE,1,Kladno (CZE),17 JUN 2018,7.22,47.45,56.69,4:44.89,23.89,3570
1622,8033,Kristjan ROSENBERG,16 MAY 1994,EST,4,Lutsk (UKR),07 JUL 2019,7.34,40.84,51.7,4:36.21,23.75,3531
1625,8032,Tomáš DVOŘÁK,11 MAY 1972,CZE,10,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.2,42.66,61.3,4:37.79,23.21,3723
1625,8032,Stefan DREWS,12 FEB 1979,GER,3,"Stadionring, Ratingen (GER)",27 JUN 2004,7.12,40.67,55.96,4:29.09,24.23,3565
1625,8032,Norman MÜLLER,07 AUG 1985,GER,6,"Stadionring, Ratingen (GER)",22 JUN 2008,7.44,41.27,56.17,4:26.83,23.28,3804
1625,8032,Roland SCHWARZL,10 DEC 1980,AUT,9,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,7.61,44.95,52.66,4:39.40,23.55,3666
1625,8032,Darius DRAUDVILA,29 MAR 1983,LTU,6,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,7.52,44.53,52.59,5:02.17,22.81,3453
1625,8032,Oleksiy KASYANOV,26 AUG 1985,UKR,7,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,7.45,44.81,46.48,4:30.02,24.24,3566
1625,8032,Harrison WILLIAMS,07 MAR 1996,USA,5,"Eugene, OR (USA)",09 JUN 2016,6.86,41.66,50.94,4:27.88,23.43,3579
1625,8032,Dennis HUTTERER,04 MAY 1996,GER,1,Darmstadt (GER),13 MAY 2018,7.27,48.41,53.26,4:34.13,23.94,3678
1625,8032,Kristjan ROSENBERG,16 MAY 1994,EST,13,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.33,43.46,54.99,4:34.40,23.56,3672
1635,8031,Alain BLONDEL,07 DEC 1962,FRA,15,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.31,37.78,58,4:23.82,23.38,3762
1635,8031,Mathias BRUGGER,06 AUG 1992,GER,1,Halle (GER),07 MAY 2017,7.04,43.08,54.06,4:28.30,23.51,3672
1635,8031,Cedric DUBLER,13 JAN 1995,AUS,2,Townsville (AUS),26 JUN 2019,7.32,41.6,51.66,4:47.57,23.41,3444
1635,8031,Rik TAAM,17 JAN 1997,NED,1,Emmeloord (NED),06 SEP 2020,7.07,42.23,57.53,4:26.53,23.78,3697
1639,8030,Oleksandr YURKOV,21 JUL 1975,UKR,13,"Népstadion, Budapest (HUN)",20 AUG 1998,7.47,47.56,51.88,4:46.88,23.63,3568
1639,8030,Chiel WARNERS,02 APR 1978,NED,6,Talence (FRA),26 SEP 2004,7.6,41.1,51.77,4:38.06,23.92,3547
1639,8030,Ilya SHKURENYOV,11 JAN 1991,RUS,3,Cheboksary (RUS),03 JUN 2012,7.34,41.81,56.14,4:39.09,23.44,3617
